data,dia_semama,nome,feriado,tipo,obs
2023-01-01,Domingo,Confraternização Universal,True,Fixo,
2023-01-25,Quarta-feira,Aniversário da Cidade de São Paulo,True,Fixo,
2023-02-20,Segunda-feira,Carnaval (seg),True,Móvel,
2023-02-21,Terça-feira,Carnaval (ter),True,Móvel,
2023-02-22,Quarta-feira,Carnaval (qua),True,Móvel,
2023-04-02,Domingo,Domingo de Ramos,False,Móvel,
2023-04-06,Quinta-feira,Endoenças,True,Móvel,
2023-04-07,Sexta-feira,Sexta-feira Santa,True,Móvel,
2023-04-09,Domingo,Páscoa,True,Móvel,
2023-04-21,Sexta-feira,Tiradentes,True,Fixo,
2023-05-01,Segunda-feira,Dia do Trabalho,True,Fixo,
2023-06-08,Quinta-feira,Corpus Christ,True,Móvel,
2023-09-07,Quinta-feira,Independência do Brasil,True,Fixo,
2023-10-12,Quinta-feira,Nossa Sra. Aparecida,True,Fixo,
2023-11-02,Quinta-feira,Dia de Finados,True,Fixo,
2023-11-15,Quarta-feira,Proclamação da República,True,Fixo,
2023-11-20,Segunda-feira,Dia da Consciência Negra,True,Fixo,
2023-12-24,Domingo,Véspera de Natal,True,Fixo,
2023-12-25,Segunda-feira,Natal,True,Fixo,
2023-12-31,Domingo,Reveillon,True,Fixo,
